Date,Open,High,Low,Close,Volume,Parabolic SAR,Prediction for Close,
3/28/2003,5560,5600,5550,5555,7386,5600,,
3/31/2003,5580,5630,5580,5630,3750,5550,,
4/1/2003,5700,5950,5630,5640,8282,5552.6,,
4/2/2003,5630,5630,5550,5555,7873,5950,,
4/3/2003,5500,5505,5480,5490,3193,5930.76,,
4/4/2003,5490,5490,5425,5425,4367,5883.88,,
4/7/2003,5425,5425,5410,5410,47,5812.3,,
4/8/2003,5420,5420,5390,5390,10020,5728.62,,
4/9/2003,5425,5425,5415,5415,1274,5640.58,,
4/10/2003,5425,5445,5420,5445,2796,5575.43,,
4/11/2003,5405,5420,5400,5410,6570,5527.22,,
4/15/2003,5420,5420,5420,5420,470,5491.54,,
4/16/2003,5400,5400,5370,5370,725,5465.14,,
4/17/2003,5365,5365,5365,5365,20230,5435.46,,
4/22/2003,5480,5480,5465,5465,360,5365,,
4/23/2003,5415,5415,5380,5380,135570,5378.78,,
4/24/2003,5400,5400,5395,5395,5980,5380,,
4/28/2003,5420,5460,5420,5450,71400,5393,,
4/29/2003,5445,5445,5445,5445,10110,5405.32,,
5/1/2003,5460,5460,5430,5430,708,5417.01,,
5/2/2003,5460,5460,5430,5450,160660,5428.08,,
5/6/2003,5415,5415,5415,5415,521,5480,,
5/8/2003,5400,5400,5400,5400,210,5474.8,,
5/9/2003,5386,5445,5386,5445,297,5469.87,,
5/13/2003,5390,5420,5390,5420,86429,5465.2,,
5/15/2003,5420,5420,5420,5420,85246,5460.77,,
5/16/2003,5450,5500,5450,5500,524,5386,,
5/19/2003,5500,5510,5480,5510,4318,5389.07,,
5/20/2003,5665,5665,5550,5600,11454,5401.64,,
5/21/2003,5600,5600,5600,5600,43070,5442.73,,
5/22/2003,5680,5700,5680,5700,1380,5477.4,,
5/23/2003,5640,5640,5600,5610,5470,5523.7,,
5/26/2003,5635,5640,5609,5640,24446,5560.37,,
5/27/2003,5659,5660,5650,5650,12220,5589.42,,
5/28/2003,5630,5630,5615,5615,11985,5612.42,,
5/29/2003,5626,5626,5610,5610,4406,5700,,
5/30/2003,5650,5674,5650,5655,15675,5687,,
6/2/2003,5670,5670,5580,5580,7168,5674.68,,
6/3/2003,5614,5614,5600,5610,10975,5670,,
6/4/2003,5564,5570,5550,5570,2797,5658.56,,
6/5/2003,5530,5530,5485,5493,10655,5647.72,,
6/6/2003,5520,5526,5510,5526,4850,5637.43,,
6/10/2003,5530,5540,5501,5509,47202,5627.69,,
6/11/2003,5446,5446,5390,5417,17473,5618.45,,
6/12/2003,5384,5395,5360,5370,10518,5594.69,,
6/13/2003,5355,5365,5345,5365,5730,5558.08,,
6/16/2003,5405,5420,5400,5420,76365,5513.76,,
6/17/2003,5410,5430,5400,5425,22951,5478.66,,
6/18/2003,5462,5462,5435,5439,6550,5345,,
6/19/2003,5370,5380,5350,5380,3991,5462,,
6/20/2003,5420,5425,5418,5425,6920,5460.6,,
6/23/2003,5385,5385,5380,5382,10000,5456.17,,
6/24/2003,5350,5370,5308,5308,12766,5444.28,,
6/25/2003,5263,5263,5255,5258,2550,5415.94,,
6/26/2003,5230,5238,5220,5235,986,5374.09,,
6/27/2003,5198,5205,5195,5195,5928,5326.02,,
6/30/2003,5218,5218,5145,5198,14025,5278.33,,
7/1/2003,5185,5200,5157,5200,27865,5222.86,,
7/2/2003,5200,5205,5190,5200,46870,5145,,
7/3/2003,5190,5190,5175,5175,34255,5159.56,,
7/4/2003,5175,5177,5155,5155,5935,5205,,
7/7/2003,5174,5174,5173,5173,1270,5203.44,,
7/8/2003,5167,5167,5167,5167,10343,5200.27,,
7/9/2003,5239,5239,5226,5230,2097,5155,,
7/10/2003,5230,5290,5230,5270,1600,5156.14,,
7/11/2003,5260,5280,5250,5250,5020,5170.06,,
7/14/2003,5267,5267,5250,5250,1603,5182.54,,
7/15/2003,5251,5337,5251,5300,8640,5193.71,,
7/16/2003,5296,5296,5250,5283,2385,5216.07,,
7/17/2003,5264,5275,5264,5275,1680,5234.93,,
7/18/2003,5281,5340,5281,5340,28870,5250.86,,
7/21/2003,5394,5395,5393,5393,2301,5269.4,,
7/22/2003,5375,5413,5375,5375,1840,5302.05,,
7/23/2003,5427,5427,5410,5418,8093,5336.67,,
7/24/2003,5441,5480,5441,5450,7879,5369.55,,
7/25/2003,5460,5470,5445,5448,40288,5415.5,,
7/28/2003,5455,5455,5428,5450,38100,5480,,
7/29/2003,5470,5475,5446,5446,36945,5428,,
7/30/2003,5460,5477,5460,5477,236,5429.4,,
7/31/2003,5450,5450,5450,5450,60,5434.35,,
8/1/2003,5496,5503,5496,5503,585,5438.79,,
8/4/2003,5380,5404,5380,5398,11152,5503,,
8/5/2003,5430,5430,5415,5415,446,5500.04,,
8/6/2003,5440,5456,5432,5449,91732,5491.19,,
8/7/2003,5448,5460,5438,5460,5710,5483.27,,
8/8/2003,5440,5440,5440,5440,314,5476.17,,
8/11/2003,5500,5513,5497,5504,1832,5380,,
8/12/2003,5517,5530,5504,5520,1115,5384.16,,
8/13/2003,5480,5490,5480,5480,6915,5399.33,,
8/14/2003,5520,5526,5500,5510,130948,5412.92,,
8/15/2003,5590,5616,5570,5582,12398,5425.09,,
8/18/2003,5583,5583,5500,5508,15640,5454.88,,
8/19/2003,5490,5518,5485,5518,3550,5480.01,,
8/20/2003,5501,5527,5501,5520,19690,5616,,
8/21/2003,5570,5570,5550,5550,27224,5608.93,,
8/22/2003,5550,5582,5550,5560,7325,5602.22,,
8/25/2003,5570,5590,5570,5575,18104,5595.87,,
8/26/2003,5600,5619,5600,5619,2100,5501,,
8/27/2003,5645,5660,5636,5636,10515,5505.63,,
8/28/2003,5820,5865,5800,5820,12415,5521.68,,
8/29/2003,5811,5811,5730,5760,11800,5575.24,,
9/1/2003,5832,5834,5824,5834,204037,5620.44,,
9/2/2003,5841,5885,5841,5880,213493,5658.59,,
9/3/2003,5835,5855,5822,5850,11865,5705.69,,
9/4/2003,5896,5896,5850,5865,4070,5742.98,,
9/5/2003,5847,5847,5813,5813,15124,5782.77,,
9/8/2003,5834,5834,5811,5811,86750,5896,,
9/9/2003,5815,5840,5805,5812,13000,5880.61,,
9/10/2003,5826,5828,5810,5826,53531,5866.02,,
9/11/2003,5828,5828,5790,5790,41320,5852.18,,
9/12/2003,5800,5800,5725,5755,152494,5839.07,,
9/15/2003,5716,5716,5690,5690,109543,5826.64,,
9/16/2003,5670,5670,5600,5664,101180,5814.85,,
9/17/2003,5664,5664,5620,5650,16555,5803.68,,
9/18/2003,5673,5705,5665,5665,3135,5793.09,,
9/19/2003,5672,5672,5645,5645,2655,5783.05,,
9/22/2003,5670,5728,5670,5728,35968,5773.53,,
9/23/2003,5728,5740,5723,5737,15565,5764.51,,
9/24/2003,5744,5744,5700,5707,1739,5755.95,,
9/25/2003,5754,5754,5732,5732,1487,5600,,
9/26/2003,5694,5694,5685,5689,7344,5612.48,,
9/29/2003,5667,5667,5656,5660,5347,5624.31,,
9/30/2003,5660,5672,5632,5646,10795,5754,,
10/1/2003,5650,5650,5640,5650,51300,5748.9,,
10/2/2003,5630,5650,5625,5650,10485,5737.58,,
10/3/2003,5616,5626,5610,5610,16222,5720.02,,
10/6/2003,5533,5533,5500,5511,84513,5697.13,,
10/7/2003,5475,5478,5460,5460,12640,5645.88,,
10/8/2003,5484,5493,5475,5475,11125,5587.88,,
10/9/2003,5462,5462,5445,5455,4958,5547.98,,
10/10/2003,5405,5410,5396,5400,16693,5510.5,,
10/13/2003,5408,5408,5372,5385,50370,5462.87,,
10/14/2003,5411,5467,5411,5455,96322,5372,,
10/15/2003,5460,5463,5457,5459,30200,5387.6,,
10/16/2003,5449,5449,5433,5438,1703,5402.39,,
10/17/2003,5431,5431,5404,5420,196066,5467,,
10/20/2003,5393,5393,5355,5355,4878,5464.09,,
10/21/2003,5412,5415,5378,5412,14661,5452.74,,
10/22/2003,5490,5490,5450,5457,6157,5355,,
10/23/2003,5493,5518,5480,5518,21698,5358.95,,
10/24/2003,5505,5505,5486,5495,20000,5375.49,,
10/27/2003,5565,5567,5550,5550,7880,5390.31,,
10/28/2003,5532,5535,5500,5510,11356,5417.88,,
10/29/2003,5451,5451,5437,5440,4865,5567,,
